ID,DMY,TC,TS,TL,DW,S,MW,HA,CO,AMA,AMB,PO,IS,NM,NU,EU,ASD,WHA,WCO,WAMA,WAMB,WIS,WNM
10,27/01/83,01:00,LT,30.0,64.57,M,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
11,27/01/83,01:00,LT,20.9,12.71,U,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
12,27/01/83,01:00,LT,25.7,38.89,F,N/A,4,0,0,0,0,0,2,0,0,N/A,0.006,0,0,0,0,0.0038
13,27/01/83,01:00,LT,27.1,45.43,F,N/A,3,2,0,0,0,0,0,0,0,N/A,0.0045,0.006,0,0,0,0
14,27/01/83,01:00,LT,23.8,27.42,M,N/A,15,0,0,0,0,0,1,0,0,N/A,0.0225,0,0,0,0,0.0019
15,27/01/83,14:02,LT,25.2,39.96,F,N/A,0,2,1,0,1,0,0,0,0,N/A,0,0.006,0.016,0,0,0
16,27/01/83,14:02,LT,23.5,24.69,U,N/A,0,0,0,1,0,0,0,0,0,N/A,0,0,0.024,0,0,0
17,27/01/83,13:55,LT,32.0,77.82,F,N/A,0,3,2,0,0,0,0,0,0,N/A,0,0.009,0.085,0,0,0
18,27/01/83,13:55,LT,26.3,43.08,M,N/A,3,5,0,0,0,0,0,0,0,N/A,0.0045,0.015,0,0,0,0
19,01/02/83,06:37,FT,29.2,57.41,F,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
20,01/02/83,06:37,FT,25.8,36.48,M,N/A,8,0,1,0,1,0,0,0,0,N/A,0.012,0,0.057,0,0,0
21,01/02/83,07:00,FT,25.0,31.06,U,N/A,0,0,2,0,0,0,0,0,0,N/A,0,0,0.014,0,0,0
22,01/02/83,07:00,FT,21.0,17.17,U,N/A,0,0,1,0,0,0,0,0,0,N/A,0,0,0.008,0,0,0
23,27/01/83,01:00,LT,16.0,6.56,U,N/A,26,0,0,0,0,0,0,0,0,N/A,0.039,0,0,0,0,0
24,27/01/83,01:00,LT,25.0,37.14,F,N/A,1,0,0,0,0,0,0,0,0,N/A,0.0015,0,0,0,0,0
25,27/01/83,01:00,LT,20.0,14.95,U,N/A,2,1,1,0,0,0,3,1,0,N/A,0.003,0.003,0.016,0,0,0.0054
26,27/01/83,01:00,LT,21.0,17.87,M,N/A,7,0,0,0,0,0,0,0,0,N/A,0.0105,0,0,0,0,0
27,27/01/83,01:00,LT,13.0,3.33,U,N/A,14,2,0,0,0,2,0,0,0,N/A,0.021,0.006,0,0,0.005,0
28,27/01/83,14:30,LT,22.8,25.65,F,N/A,10,3,1,0,0,0,0,0,0,N/A,0.015,0.009,0.175,0,0,0
29,27/01/83,14:15,LT,19.1,13.12,M,N/A,0,1,0,0,0,0,0,0,0,N/A,0,0.003,0,0,0,0
30,27/01/83,14:40,LT,24.5,33.54,F,N/A,73,4,0,1,0,0,0,0,0,N/A,0.1095,0.012,0,0.054,0,0
31,27/01/83,14:27,LT,22.0,23.05,U,N/A,22,17,0,0,0,3,1,0,0,N/A,0.033,0.051,0,0,0.0075,0.0019
32,27/01/83,14:19,LT,25.5,30.31,U,N/A,1,4,1,0,0,1,0,0,0,N/A,0.0015,0.012,0.011,0,0.0025,0
33,27/01/83,14:19,LT,18.0,11.00,U,N/A,15,0,0,0,0,0,0,0,0,N/A,0,0.045,0,0,0,0
34,29/01/83,17:15,FT,28.0,45.80,M,N/A,0,25,0,2,0,0,0,0,1,N/A,0,0.075,0,0.132,0,0
35,29/01/83,16:58,LT,23.1,28.16,U,N/A,22,22,0,0,0,0,1,0,0,N/A,0.033,0.066,0,0,0,0.0019
36,29/01/83,16:58,LT,24.7,34.19,M,N/A,57,68,0,1,0,2,0,0,0,N/A,0.0855,0.204,0,0.118,0.005,0
37,29/01/83,17:20,FT,25.8,35.68,U,N/A,3,39,0,1,0,0,0,0,1,N/A,0.0045,0.117,0,0.024,0,0
38,29/01/83,17:20,FT,24.5,31.94,F,N/A,2,100,0,0,0,0,0,0,0,N/A,0.0015,0.3,0,0,0,0
39,29/01/83,17:15,FT,16.8,8.55,U,N/A,1,48,0,0,1,0,1,0,0,N/A,0.0015,0.144,0,0,0,0.0019
40,29/01/83,17:15,FT,17.3,9.81,U,N/A,0,1,0,6,0,0,0,0,0,N/A,0,0.003,0,0.107,0,0
41,29/01/83,16:47,LT,15.8,7.82,U,N/A,58,31,0,0,0,0,8,0,1,N/A,0.087,0.093,0,0,0,0.0152
42,29/01/83,16:58,LT,15.8,7.73,U,N/A,68,21,0,0,1,0,31,0,0,N/A,0.102,0.063,0,0,0,0.0589
43,29/01/83,16:58,LT,15.0,5.07,U,N/A,46,13,0,0,1,1,13,0,0,N/A,0.069,0.039,0,0,0.0025,0.02
44,31/01/83,04:38,LT,28.2,50.91,F,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
45,31/01/83,04:38,LT,18.8,15.53,M,N/A,2,0,0,0,0,0,0,0,0,N/A,0.003,0,0,0,0,0
46,31/01/83,04:38,LT,24.3,29.97,M,N/A,0,0,1,0,0,0,0,0,0,N/A,0,0,0.027,0,0,0
47,31/01/83,04:38,LT,20.0,16.51,U,N/A,0,0,1,1,0,0,0,0,0,N/A,0,0,0.0075,0.15,0,0
48,31/01/83,04:55,LT,26.2,35.92,M,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
49,31/01/83,05:04,LT,17.5,9.45,U,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
50,31/01/83,05:04,LT,20.1,23.19,U,N/A,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0
51,31/01/83,05:04,LT,16.5,7.50,U,N/A,1,0,0,0,0,0,0,0,0,N/A,0.0015,0,0,0,0,0
52,31/01/83,05:04,LT,18.2,10.94,U,N/A,2,0,1,0,0,0,0,0,0,N/A,0.003,0,0.025,0,0,0
53,31/01/83,05:04,LT,11.5,2.14,U,N/A,5,0,0,0,0,0,0,0,0,N/A,0.0075,0,0,0,0,0
54,01/02/83,06:37,FT,26.0,42.21,M,N/A,9,2,0,0,0,0,0,0,0,N/A,0.0135,0.006,0,0,0,0
56,01/02/83,06:37,FT,25.1,34.53,M,N/A,7,0,2,0,0,0,0,0,0,N/A,0.0105,0,0.279,0,0,0
57,01/02/83,06:37,FT,18.0,11.54,U,N/A,8,0,1,0,1,0,0,0,0,N/A,0.012,0,0.125,0,0,0
58,01/02/83,06:37,FT,17.3,9.18,U,N/A,9,0,4,0,0,0,0,0,0,N/A,0.0135,0,0.318,0,0,0
59,01/02/83,06:37,FT,17.2,10.53,U,N/A,5,0,0,0,0,0,0,0,0,N/A,0.0075,0,0,0,0,0
60,01/02/83,06:37,FT,13.4,4.12,U,N/A,9,0,0,0,0,0,0,0,0,N/A,0.0135,0,0,0,0,0
61,02/03/83,05:16,LT,29.5,60.74,F,2.7,1,1,0,0,0,0,0,0,0,4,,,,,,
62,02/03/83,05:16,LT,29.0,56.21,F,2.7,0,0,3,1,0,0,0,0,0,4,,,,,,
63,02/03/83,05:16,LT,23.0,21.41,F,1.9,0,0,1,0,0,0,0,0,0,4,,,,,,
64,02/03/83,05:16,LT,19.0,13.92,U,1.7,0,0,4,0,0,0,0,0,0,4,,,,,,
65,02/03/83,05:16,LT,21.5,20.00,U,2.0,0,2,1,0,0,0,0,0,0,N/A,,,,,,
66,02/03/83,05:16,LT,18.0,9.29,U,1.4,4,0,0,0,0,0,0,0,0,4,,,,,,
67,02/03/83,05:16,LT,18.0,10.07,U,1.5,1,0,0,1,0,0,0,0,1,4,,,,,,
68,02/03/83,05:16,LT,18.5,9.79,U,1.6,0,0,2,0,0,0,0,0,0,4,,,,,,
69,02/03/83,05:16,LT,17.0,7.61,U,1.2,0,0,4,0,0,0,0,0,0,N/A,,,,,,
70,02/03/83,05:16,LT,11.0,1.99,U,0.9,8,0,0,0,0,0,1,0,0,4,,,,,,
71,02/03/83,06:05,FT,17.5,N/A,U,2.1,1,1,0,0,0,0,0,0,0,4,,,,,,
72,02/03/83,06:05,FT,27.0,52.90,F,2.6,0,0,2,0,0,0,0,0,0,3,,,,,,
73,02/03/83,06:05,FT,29.0,63.68,F,2.7,0,0,1,0,0,0,0,0,0,3,,,,,,
74,02/03/83,06:05,FT,25.0,33.16,F,2.4,3,0,0,0,0,0,0,0,0,3,,,,,,
75,02/03/83,06:05,FT,23.0,21.55,U,1.9,0,0,0,0,0,0,0,0,0,N/A,,,,,,
76,02/03/83,06:05,FT,18.0,9.06,U,1.4,0,0,1,0,0,0,0,0,0,4,,,,,,
77,02/03/83,06:05,FT,19.0,12.48,U,1.7,2,1,7,0,0,1,1,0,0,3,,,,,,
78,02/03/83,06:05,FT,29.0,55.06,M,2.5,0,0,5,0,0,0,0,0,0,3,,,,,,
79,02/03/83,06:05,FT,17.0,7.97,U,1.5,5,1,1,0,0,0,0,0,0,4,,,,,,
80,02/03/83,06:05,FT,19.0,12.44,U,1.5,0,0,0,0,0,0,0,0,0,N/A,,,,,,
81,28/02/83,17:35,FT,21.5,21.33,U,1.9,13,0,0,0,0,1,0,0,0,2,,,,,,
82,28/02/83,17:35,FT,19.0,11.81,U,1.6,41,13,6,1,0,3,0,0,0,4,,,,,,
83,28/02/83,17:35,FT,22.0,20.75,U,2.0,7,1,3,3,1,0,0,0,0,2,,,,,,
84,28/02/83,17:35,FT,22.0,18.99,U,1.7,2,0,0,3,0,0,0,0,0,3,,,,,,
85,28/02/83,17:35,FT,18.0,9.21,U,1.4,0,1,1,0,0,0,0,0,0,2,,,,,,
86,28/02/83,17:35,FT,19.0,12.27,U,1.8,38,4,3,0,0,1,2,0,0,2,,,,,,
87,28/02/83,17:35,FT,16.0,6.96,U,1.4,63,2,0,0,4,0,3,0,0,2,,,,,,
88,28/02/83,17:35,FT,16.5,7.54,U,1.1,40,1,3,0,0,1,0,0,0,2,,,,,,
89,28/02/83,17:35,FT,14.0,4.27,U,0.8,46,2,3,0,2,0,4,0,0,3,,,,,,
90,28/02/83,17:35,FT,14.0,4.08,U,1.1,44,6,2,0,0,1,0,0,0,3,,,,,,
91,28/02/83,16:20,LT,26.0,37.85,M,2.6,0,0,1,0,0,0,0,0,0,2,,,,,,
92,28/02/83,16:20,LT,20.0,15.14,U,1.8,25,2,0,0,0,0,0,0,0,4,,,,,,
